Foundation Name,EIN,Source,URL,State,Place-based,Geographic area(s) served,Subject area(s),Population(s) served,Year,Total revenue,Total expenses,Net income,Revenue source 1,Percent of total revenue 1,Revenue source 2,Percent of revenue 2,Revenue source 3,Percent of revenue 3,Other revenue sources,Percent of revenue other,Expense category 1,Proportion of total expenses 1,Expense category 2,Proportion of total expenses 2,Total assets,Total liabilities,Net assets
Endowment for Health,02-0512290,RFA Community News Funds,https://endowmentforhealth.org/,New Hampshire,Yes,New Hampshire,"Dental care, health, social sciences","Ethnic and racial groups, low-income people, health, immigrants and migrants, age groups",2023,"7,892,572","5,814,681","2,077,891",Contributions received,0.502,Sales of assets,0.441,Dividends,0.058,Interest revenue,<.01,Charitable disbursements,0.813,Compensation of officers,0.056,"96,975,897","2,685,886","94,290,011"
Couch Family Foundation,,RFA Community News Funds,https://www.couchfoundation.org/,New Hampshire,Yes,"New Hampshire, Upper Valley of NH and VT, Martha's Vineyard, MA","Christianity, community and economic development, higher education, opera",,2022,"59,437,546","7,314,043","52,123,503",Sales of Assets ,0.736,Contributions Received ,0.228,Dividends ,0.036,,,Charitable Disbursements,0.834, Compensation of Officers,0.008,"132,171,183",0,"132,171,183"
Eppes-Jefferson Foundation,,RFA Community News Funds,https://e-jfoundation.com/,New Hampshire,CHECK THAT IT'S PLACE-BASED,,Arts and culture,,2023,"277,506","462,424","-184,918",Dividends,0.742,Sales of Assets,0.146,Interest Revenue,0.112,Other Income,<.01,Charitable Disbursements,0.94,Compensation of Officers,0.24,"8,090,611","3,462","8,087,149"
Longwood Foundation,,RFA Community News Funds,https://longwoodfoundation.org/,Delaware,Yes,"Delaware,Kennett Square","Leadership development, community building",,2023,"28,715,921","36,435,477","-7,719,556",Sales of Assets ,.50.4,Dividends,.46.7,Contributions Received,0.015,"Other Income, Interest Received",0.014,Charitable Disbursements,>1,Compensation of Officers,0.01,"807,087,298","65,191,134","741,896,164"
Crestlea Foundation,,RFA Community News Funds,https://crestlea.org/,Delaware,Yes,"Delaware;Southeastern Chester County, PA","Social Services, Education, Health Care,Cultural/Arts,",,2022,"854,726","639,889","214,837",Dividends,0.501,Sales of Assets,0.495,Interest Revenue,0.004,Other Income,,Charitable Disbursements,>1,Compensation of Officers,0,"19,206,313","16,227","19,190,086"
Bernard and Audre Rapoport Foundation,,RFA Community News Funds,https://www.rapoportfdn.org/,Texas,Yes,"Texas, Waco",Arts and culture,Children and Disadvantaged People,,,,,,,,,,,,,,,,,,,
Welfare Foundation,,RFA Community News Funds,,Delaware,Yes,"Delaware;PA, Southern Chester County",Social Welfare,"Communities Across Delaware and Southern Chester County, PA",,,,,,,,,,,,,,,,,,,
The Benter Foundation,,RFA Community News Funds,,"PA,Pittsburgh",CHECK THAT IT'S PLACE-BASED,,,,,,,,,,,,,,,,,,,,,,
Centre Foundation,,RFA Community News Funds,,"PA, State College",CHECK THAT IT'S PLACE-BASED,,,,,,,,,,,,,,,,,,,,,,
The Foundation for Enhancing Communities,,RFA Community News Funds,https://www.tfec.org,"PA, Harrisburg",Yes,"PA, Harrisburg","Donated Assets, Investment, Grantmaking",Philanthropic Donors,2023,"6,321,119","12,415,926","-6,094,807",Contributions,0.647,Investment Income,0.296,Program Services,0.099,Net Fundraising,<.01,Executive Compensation,0.05,Other Salaries and Wages,0.071,"120,074,104","8,992,392","111,081,712"
Good Words Foundation,,RFA Community News Funds,https://www.thegoodwordfoundation.org,"CA, Los Angeles",Yes,"CA,LA; CA,Inglewood;CA, Hesperia",Community Development,Children,2023,"625,246","1,219,755","-594,509",Dividends,0.875,Interest Revenue,0.202,,,,,Charitable Disbursements,0.955,,,"18,760,050",,"18,760,050"
The Grable Foundation,,RFA Community News Funds,https://grable.org,"PA, Pittsburgh",CHECK THAT IT'S PLACE-BASED,,,,,,,,,,,,,,,,,,,,,,
Henry L. Hillman Foundation,,RFA Community News Funds,https://henrylhillmanfoundation.org,"PA, Pittsburgh",CHECK THAT IT'S PLACE-BASED,,,,,,,,,,,,,,,,,,,,,,
The Ivywood Foundation,,RFA Community News Funds,,"PA, Bala Cynwood",CHECK THAT IT'S PLACE-BASED,,,,,,,,,,,,,,,,,,,,,,
Leader Family Foundation,,RFA Community News Funds,,VA,Yes,"VA, Reston",,,2018,24,"4,505","-4,481",Interest Revenue,1,,,,,,,Charitable Disbursements,0.167,,,0,0,0
The Richard & Susan Master Foundation,,RFA Community News Funds,,"PA, Easton",CHECK THAT IT'S PLACE-BASED,,,,,,,,,,,,,,,,,,,,,,
The Snider Foundation,,RFA Community News Funds,http://www.sniderfoundation.org,"PA, Bryn Mawr",Yes,PA; Bryn Mawr,"Education, Arts,Health",Community,2023,"3,524,194","37,375,605","-33,851,411",Dividends,0.896,Sales of Assets,0.104,,,,,Charitable Disbursements,0.297,,,"145,454,351","24,755,940","120,698,411"
Chandler-Shreve Family Fund,,RFA Community News Funds,,,CHECK THAT IT'S PLACE-BASED,,,,,,,,,,,,,,,,,,,,,,
Bernier McCaw Founation,,RFA Community News Funds,,"WA, Seattle",Yes,WA;Seattle,Charity Support,Charities,2023,"420,142","3,835,581","-3,415,439",Dividends,0.651,Sales of Assets,0.33,,,,,Charitable Disbursements,0.986,,,"7,718,087",0,"7,718,087"
Raikes Foundation,,RFA Community News Funds,https://www.raikesfoundation.org,"WA, Seattle",CHECK THAT IT'S PLACE-BASED,,,,,,,,,,,,,,,,Charitable Disbursements,0.807,,,"17,907,652",0,"17,907,652"
Konzen Family Foundation,,RFA Community News Funds,,"WA, Bellevue",Yes,"WA,Bellevue",,,2022,"-745,612","1,296,816","-2,042,428",,,,,,,,,,,,,"3,088,498",0,"3,088,498"
Andler/Rush For a Better Tomorrow Fund,,RFA Community News Funds,,,CHECK THAT IT'S PLACE-BASED,,,,,,,,,,,,,,,,,,,,,,
Anna and Seymour Gitenstein Foundation,,RFA Community News Funds,,"Alabama, Montgomery",CHECK THAT IT'S PLACE-BASED,,,,,,,,,,,,,,,,,,,,,,
June Foundation,,RFA Community News Funds,,"CA, Los Angeles",CHECK THAT IT'S PLACE-BASED,,,,,,,,,,,,,,,,,,,,,,
Kenny Charitable Fund,,RFA Community News Funds,,,CHECK THAT IT'S PLACE-BASED,,,,,,,,,,,,,,,,,,,,,,
The KLEO Foundation,,RFA Community News Funds,https://kleofoundation.org,,CHECK THAT IT'S PLACE-BASED,,,,,,,,,,,,,,,,,,,,,,
Julie A. Richmond Foundation,,RFA Community News Funds,,,CHECK THAT IT'S PLACE-BASED,,,,,,,,,,,,,,,,,,,,,,
The Wiesinger Andrews Fund,,RFA Community News Funds,,,CHECK THAT IT'S PLACE-BASED,,,,,,,,,,,,,,,,,,,,,,
The Holloway Family Foundation,,RFA Community News Funds,https://hollowayfamilyfoundation.org,"CA, Berkeley",CHECK THAT IT'S PLACE-BASED,,,,,,,,,,,,,,,,,,,,,,
May Family Foundation,,RFA Community News Funds,https://www.mayfamilyfoundation.com,,CHECK THAT IT'S PLACE-BASED,,,,,,,,,,,,,,,,,,,,,,
Connell Donor Fund,,RFA Community News Funds,,,CHECK THAT IT'S PLACE-BASED,,,,,,,,,,,,,,,,,,,,,,
Bayes Giving Fund,,RFA Community News Funds,,,CHECK THAT IT'S PLACE-BASED,,,,,,,,,,,,,,,,,,,,,,
Bartlett/Walker Charitable Fund,,RFA Community News Funds,,,CHECK THAT IT'S PLACE-BASED,,,,,,,,,,,,,,,,,,,,,,
Walker Bevan Giving Fund,,RFA Community News Funds,,,CHECK THAT IT'S PLACE-BASED,,,,,,,,,,,,,,,,,,,,,,
Adams Family Foundation,,RFA Community News Funds,,,CHECK THAT IT'S PLACE-BASED,,,,,,,,,,,,,,,,,,,,,,
The Band Foundation,,RFA Community News Funds,https://bandfdn.org,,CHECK THAT IT'S PLACE-BASED,,,,2023,"42,888","170,313","-127,425",Dividends,1,Interest Revenue,0.185,,,,,,,,,,,
Fagus Foundation,,RFA Community News Funds,,"VA,Middleburg",CHECK THAT IT'S PLACE-BASED,,,,2022,"1,200,673","3,035,456","-1,834,783",Dividends,0.581,Contributions Received,0.416,Sales of Assets,0.002,,,Charitable Disbursements,0.972,Compensation of Officers,0.025,"25,202,993","1,728","25,201,265"
Northern Trust Charitable Giving Foundation,,RFA Community News Funds,,,CHECK THAT IT'S PLACE-BASED,,,,,,,,,,,,,,,,,,,,,,
PATH Foundation,,RFA Community News Funds,https://www.pathfoundation.org,"GA, Atlanta",CHECK THAT IT'S PLACE-BASED,,,,2024,"21,953,168","14,299,177","7,653,991",Contributions,0.87,Program Services,0.127,Investment Income,0.002,Other Revenue,<.01,Executive Compensation,0.059,Other Salaries and Wages,0.01,"16,524,737","1,662,430","14,862,307"
Lykes Estate Fund,,RFA Community News Funds,,,CHECK THAT IT'S PLACE-BASED,,,,,,,,,,,,,,,,,,,,,,
The Raines Family Fund,,RFA Community News Funds,https://www.racf.org/fund/raines-family-fund/,"NY, Rochester",CHECK THAT IT'S PLACE-BASED,,,,,,,,,,,,,,,,,,,,,,
Rose Foundation for Communities and the Environment,,RFA Community News Funds,https://rosefdn.org,"CA, Oakland",CHECK THAT IT'S PLACE-BASED,,,,2022,"5,938,485","7,391,905","-1,453,420",Contributions,0.962,Investment Income,0.036,Net Fundraising,0.002,,,Executive Compensation,0.028,Other Salaries and Wages,0.126,"28,969,524","25,735,702","3,233,822"
The James Irvine Foundation,,RFA Community News Funds,https://www.irvine.org,"CA, San Francisco",CHECK THAT IT'S PLACE-BASED,,,,,,,,,,,,,,,,,,,,,,
The Rappaport Family Foundation,,RFA Community News Funds,https://www.rapoportfamilyfoundation.com,"TX, WACO",CHECK THAT IT'S PLACE-BASED,,,,2022,"165,118","697,521","-532,403",Dividends,>1,Contributions Received,0.224,Interest Revenue,0.001,,,Charitable Disbursements,0.875,,,"11,781,977",0,"11,781,977"
Silicon Valey Community Foundation,,RFA Community News Funds,https://www.siliconvalleycf.org,"CA, Mountain View",CHECK THAT IT'S PLACE-BASED,,,,2022,"3,015,340,623","4,236,289,536","-1,220,948,913",Contributions,0.823,Sales of Assets,0.141,Investment Income,0.035,Program Services,0.001,Other Revenue,<.01,Executive Compensation,0.001,"10,982,029,914","880,423,937","10,101,605,977"
Atwood Foundation,,Press Forward,https://atwoodfoundation.org,"Alaska, Anchorage",,,,,2018,"983,208","4,649,305","-3,666,097",Sales of Assets,0.936,Dividends,0.04,Interest Revenue,0.024,,,Charitable Disbursements,0.992,,,0,0,0
Appalachia Funders Network,,Press Forward,https://www.appalachiafunders.org,Central Appalachia,,,,,,,,,,,,,,,,,,,,,,,
The Steinman Foundation,,Press Forward,https://steinmanfoundation.org,Central Pennsylvania,,,,,2023,"2,129,467","10,622,330","-8,492,863",Dividends,>1,,,,,,,Charitable Disbursements,0.94,Compensation of Officers,0.003,"85,184,847","91,113","85,093,734"
James B. McClatchy Foundation,,Press Forward,https://jbmcclatchyfoundation.org,"Central Valley, CA",,,,,2023,"-1,544,822","7,331,174","-8,875,996",,,,,,,,,Other Salaries and Wages,0.095,Executive Compensations,0.034,"38,994,873","340,924","38,653,949"
John D. and Catherine T. MacArthur Foundation and The Chicago Community Trust,,Press Forward,,Chicago,,,,,,,,,,,,,,,,,,,,,,,
Gates Family Foundation and the Colorado Health Foundation,,Press Forward,https://gatesfamilyfoundation.org,Colorado,,,,,,,,,,,,,,,,,,,,,,,
Inland Empire Community Foundation,,Press Forward,https://www.iegives.org,"Inland Empire, CA",,,,,2023,"41,121,733","34,281,398","6,840,335",Contributions,0.821,Sales of Assets,0.129,Investment Income,0.05,,,Other Salaries and Wages,0.037,Executive Compensation,0.023,"136,860,693","24,139,502","112,721,191"
Blue Grass Community Foundation,,Press Forward,https://www.bgcf.org,"Lexington, KY",,,,,2023,"57,159,622","27,853,076","29,306,546",Contributions,0.815,Investment Income,0.127,Program Services,0.044,Sales of Assets,0.015,Other Salaries and Wages,0.028,Executive Compensation,0.016,"223,373,063","22,554,148","200,818,915"
McKnight Foundation,,Press Forward,https://www.mcknight.org,Minnesota,,,,,2022,"165,036,445","200,900,058","-35,863,613",Sales of Assets,0.797,Other Income,0.06,Interest Revenue,0.002,Contributions Received,0.001,Charitable Disbursements,0.703,Compensation of Officers,0.008,"2,566,350,071","129,576,425","2,436,773,646"
CREATE Foundation,,Press Forward,https://createfoundation.com,Mississippi,,,,,2023,"22,231,092","14,512,145","7,718,947",Contributions,0.834,Investment Income,0.166,Program Services,0.002,,,Other Salaries and Wages,0.042,Executive Compensation,0.026,"167,121,440",0,"167,121,440"
New Jersey Civic Information Consortium and Community Foundation of New Jersey,,Press Forward,https://njcivicinfo.org,New Jersey,,,,,,,,,,,,,,,,,,,,,,,
Thornburg Foundation and the New Mexico Local News Fund,,Press Forward,,New Mexico,,,,,,,,,,,,,,,,,,,,,,,
"North Carolina Local News Lab Fund, Kate B. Reynolds Charitable Trust and Z. Smith Reynolds Foundation",,Press Forward,,North Carolina,,,,,,,,,,,,,,,,,,,,,,,
Community Foundation of Greater Dubuque,,Press Forward,https://dbqfoundation.org,Northeast Iowa,,,,,2022,"18,173,016","10,565,504","7,607,512",Contributions,0.883,Investment Income,0.197,Program Services,0.001,,,Executive Compensation,0.024,,,"132,472,525","1,108,014","131,364,511"
Grand Traverse Regional Community Foundation,,Press Forward,https://www.gtrcf.org,Northern Michigan,,,,,2023,"4,933,351","5,203,080","-269,729",Investment Income,0.509,Contributions,0.256,Sales of Assets,0.235,,,Other Salaries and Wages,0.133,Executive Compensation,0.03,"96,120,361","93,202","96,027,159"
The Lenfest Institute for Journalism,,Press Forward,https://www.lenfestinstitute.org,Philadelphia,,,,,,,,,,,,,,,,,,,,,,,
The Center for Media Innovation at Point Park University; Benter Foundation; The Heinz Endowments; Henry L. Hillman Foundation; and The Pittsburgh Foundation,,Press Forward,,Pittsburgh,,,,,,,,,,,,,,,,,,,,,,,
San Antonio Area Foundation,,Press Forward,https://saafdn.org,San Antonio,,,,,2022,"68,911,493","55,540,535","13,370,958",Contributions,0.752,Investment Income,0.202,Program Services,0.025,Royalties,0.009,Other Salaries and Wages,0.051,Executive Compensation,0.024,"525,679,071","15,281,694","510,397,377"
The Miami Foundation,,Press Forward,https://miamifoundation.org,South Florida,,,,,2022,"113,981,496","81,136,698","32,844,798",Contributions,0.853,Investment Income,0.08,Sales of Assets,0.055,Program Services,0.01,Other Salaries and Wages,0.028,Executive Compensation,0.012,"438,006,992","39,473,428","398,533,564"
