Foundation Name,EIN,Source,URL,State,Place-based,Geographic area(s) served,Subject area(s),Population(s) served,Year,Total revenue,Total expenses,Net income,Revenue source 1,Percent of total revenue 1,Revenue source 2,Percent of revenue 2,Revenue source 3,Percent of revenue 3,Other revenue sources,Percent of revenue other,Expense category 1,Proportion of total expenses 1,Expense category 2,Proportion of total expenses 2,Total assets,Total liabilities,Net assets,State_abbr
Community Foundation for Southern Arizona,942681765,Press Forward,https://cfsaz.org/pressforward/,Southern Arizona,,,,,2023.0,"18,652,959","14,976,946","3,676,013",Contributions,0.772,Investment Income,0.209,Sales of Assets,0.028,"Program Services, Other Revenue",0.013,Other Salaries and Wages,0.08,Executive Compensation,0.042,"186,272,025","12,737,571","173,534,454",AZ
Community Foundation for the Land of Lincoln,204191391,Press Forward,https://cfll.org,"Springfield, IL",,,,,2023.0,"7,896,379","5,584,306","2,312,073",Contributions,0.69,Investment Income,0.205,Sales of Assets,0.08,"Royalties,Program Services, Other Revenue",0.024,Executive Compensation,0.085,Other Salaries and Wages,0.023,"79,066,973","7,715,814","71,351,159",IL
Community Foundation of Tampa Bay,593001853,Press Forward,https://cftampabay.org,Tampa Bay,,,,,2023.0,"160,041,596","34,017,854","126,023,742",Contributions,0.879,Investment Income,0.077,Sales of Assets,0.039,"Program Services,Other Revenue",0.005,Other Salaries and Wages,0.058,Executive Compensation,0.016,"663,874,004","62,027,475","601,846,529",
Vermont Community Foundation,222712160,Press Forward,https://vermontcf.org,Vermont,,,,,2022.0,"40,050,864","39,751,190","299,674",Contributions,0.793,Investment Income,0.108,Sales of Assets,0.067,Program Services,0.031,Other Salaries and Wages,0.059,Executive Compensation,0.029,"316,750,116","12,225,412","304,524,704",VT
Wichita Foundation,263154279,Press Forward,https://wichitafoundation.org,Wichita,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming Community Foundation,830287513,Press Forward,https://wycf.org,Wyoming,,,,,2022.0,"14,408,051","12,639,047","1,769,004",Contributions,0.503,Investment Income,0.339,Other Revenue,0.158,Rental Property Income,<.01,Other Salaries and Wages,0.089,Executive Compensation,0.048,"186,024,480","35,481,702","150,542,778",WY
Mahoning Community Foundation,341904353,Press Forward,,Ohio,,,,,,,,,,,,,,,,,,,,,,,,OH
New Hampshire Charitable Foundation,26005625,RFA Community News Funds,https://www.nhcf.org,New Hampshire,,,,,2022.0,"65,087,484","72,174,040","-7,086,556",Contributions,0.702,Sales of Assets,0.217,Investment Income,0.093,Program Services,0.002,Other Salaries and Wages,0.057,Executive Compensation,0.019,"906,709,858","64,521,161","842,188,697",NH
New Hampshire Women's Foundation,20495092,RFA Community News Funds,https://nhwomensfoundation.org,New Hampshire,,,,,2021.0,"584,227","704,252","-120,025",Contributions,0.903,Investment Income,0.12,Sales of Assetts,0.001,,,Other Salaries and Wages,0.351,Executive Compensation,0.199,"2,010,896","21,002","1,989,894",NH
Delaware Community Foundation,222804785,RFA Community News Funds,https://delcf.org,Delaware,,,,,2023.0,"37,470,416","36,088,293","1,382,123",Contributions,0.577,Sales of Assets,0.206,Investment Income,0.192,"Program Services, Other Revenue",0.025,Other Salaries and Wages,0.042,,,"347,152,846","44,641,333","302,511,513",DE
Healthy Communities Delaware,,RFA Community News Funds,https://healthycommunitiesde.org,Delaware,,,,,,,,,,,,,,,,,,,,,,,,DE
Delaware Humanities,510212681,RFA Community News Funds,https://dehumanities.org,Delaware,,,,,,,,,,,,,,,,,,,,,,,,DE
United Way of Delaware,510073399,RFA Community News Funds,https://uwde.org,Delaware,,,,,2023.0,"17,599,209","19,771,800","-2,172,591",Contributions,0.972,Program Services,0.023,Investment Income,0.005,,,Other Salaries and Wages,0.175,Executive Compensation,0.048,"12,294,720","4,256,503","8,038,217",DE
Wilmington Alliance,851287916,RFA Community News Funds,https://www.wilmingtonalliance.org,Delaware,,,,,,,,,,,,,,,,,,,,,,,,DE
Allegheny Foundation,256012303,RFA Community News Funds,https://alleghanyfoundation.org,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranth Foundation,237743235,RFA Community News Funds,https://amaranth.foundation,,,,,,,,,,,,,,,,,,,,,,,,,
The Heartful Fund of the Philadelphia Foundation,,RFA Community News Funds,,,,,,,,,,,,,,,,,,,,,,,,,,
The Heinz Endowments,251721100,RFA Community News Funds,https://www.heinz.org,,,,,,2022.0,"120,446,355","98,940,783","21,505,572",Sales of Assets,0.87,Dividends,0.095,Other Income,0.035,,,Charitable Disbursements,0.951,Compensation of Officers,0.012,"2,046,165,848","64,182,106","1,981,983,742",
Foundation Fellows Fund for the Future,,RFA Community News Funds,,,,,,,,,,,,,,,,,,,,,,,,,,
The Philadelphia Foundation,222524368,RFA Community News Funds,https://www.philafound.org,,,,,,,,,,,,,,,,,,,,,,,,,
Berks County Community Foundation,232769892,RFA Community News Funds,https://bccf.org,,,,,,2023.0,"11,644,962","9,214,146","2,430,816",Contributions,0.478,Sales of Assets,0.345,Investment Income,0.176,"Rental Property Income, Other Revenue",0.005,Other Salaries and Wages,0.077,Executive Compensation,0.057,"123,855,597","7,299,711","116,555,886",
The Erie County Community Foundation,341792862,RFA Community News Funds,https://www.eriefoundation.org,,,,,,2022.0,"2,571,862","3,726,218","-1,154,356",Investment Income,0.607,Contributions,0.551,Other Revenue,0.021,"Program Services, Rental Property Income",0.02,Other Salaries and Wages,0.053,Executive Compensation,0.025,"36,718,322","4,282,251","32,436,071",
Indepenence Public Media Foundation,,RFA Community News Funds,https://www.independencemedia.org,,,,,,,,,,,,,,,,,,,,,,,,,
Lancaster County Community Foundation,200874857,RFA Community News Funds,https://www.lancfound.org,,,,,,2022.0,"16,848,863","17,131,820","-282,957",Contributions,0.885,Investment Income,0.216,Rental Property Income,0.004,Other Revenue,0.002,Other Salaries and Wages,0.055,Executive Compensation,0.023,"152,202,320","19,462,700","132,739,620",
The Lois Tack Thompson Fund of the Pittsburgh Foundation,,RFA Community News Funds,https://pittsburghfoundation.org/node/24980,,,,,,,,,,,,,,,,,,,,,,,,,
Posner Foundation of Pittsburgh,256055022,RFA Community News Funds,https://posnerfoundation.org,,,,,,2022.0,"30,133,798","21,695,625","8,438,173",Sales of Assets,0.862,Dividends,0.139,Contributions Received,<.01,,,Charitable Disbursements,0.859,,,"182,613,119","1,793","182,611,326",
Scranton Area Foundation,232890364,RFA Community News Funds,https://safdn.org,,,,,,2022.0,"9,233,945","7,736,883","1,497,062",Contributions,0.78,Sales of Assets,0.115,Investment Income,0.102,Other Revenue,0.003,Other Salaries and Wages,0.064,Executive Compensation,0.023,"52,409,547","4,778,786","47,630,761",
York County Community Foundation,236299868,RFA Community News Funds,https://yccf.org,,,,,,2022.0,"12,899,257","9,154,775","3,744,482",Contributions,0.697,Sales of Assets,0.158,Investment Income,0.127,Program Services,0.018,Other Salaries and Wages,0.112,Executive Compensation,0.033,"187,288,078","53,033,993","134,254,085",
United Way of King County,910565555,RFA Community News Funds,https://www.uwkc.org,,,,,,2023.0,"108,002,071","115,807,218","-7,805,147",Contributions,0.99,Investment Income,0.008,Program Services,0.002,Sales of Assets,0.002,Other Salaries and Wages,0.116,Executive Compensation,0.006,"60,608,347","4,817,727","55,790,620",
Northern Piedmont Community Foundation,311742955,RFA Community News Funds,https://www.npcf.org,,,,,,2023.0,"5,035,447","2,994,544","2,040,903",Contributions,0.792,Investment Income,0.224,Other Revenue,0.004,,,Other Salaries and Wages,0.05,Executive Compensation,0.045,"37,997,336","1,149,707","36,847,659",
Greater Green Bay Community Foundation,391699966,RFA Community News Funds,https://www.ggbcf.org,,,,,,2023.0,"19,336,393","37,771,644","-18,435,251",Contributions,0.849,Investment Income,0.204,Other Revenue,0.075,,,Other Salaries and Wages,0.019,Executive Compensation,0.009,"150,881,031","35,232,034","115,648,997",
Community Foundation for the Fox Valley Region,391548450,RFA Community News Funds,https://www.cffoxvalley.org,,,,,,2022.0,"46,500,809","37,931,392","8,569,417",Contributions,0.794,Investment Income,0.1,Sales of Assets,0.096,Program Services,0.01,Other Salaries and Wages,0.046,Executive Compensation,0.023,"441,252,982","70,265,882","370,987,100",
California Wellness Foundation,954292101,RFA Community News Funds,https://www.calwellness.org,,,,,,2022.0,"78,770,548","73,097,281","5,673,267",Sales of Assets,0.825,Dividends,0.145,Other Income,0.028,Interest Revenue,0.002,Charitable Disbursements,0.952,Compensation of Officers,0.038,"1,019,736,613","14,784,026","1,004,952,587",
The California Endowment,954523232,RFA Community News Funds,https://www.calendow.org,,,,,,2023.0,"361,897,588","417,921,219","-56,023,631",Sales of Assets,0.824,Other Income,0.129,Dividends,0.045,Interest Revenue,<.01,Charitable Disbursements,0.596,Compensation of Officers,0.009,"4,318,845,356","530,501,706","3,788,343,650",
The Central Valley Community Foundation,770478025,RFA Community News Funds,https://centralvalleycf.org,,,,,,,,,,,,,,,,,,,,,,,,,
La Sombrita Fund at the Central Valley Community Foundation,,RFA Community News Funds,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonfils Stanton Foundation,846029014,RFA Community News Funds,https://www.bonfils-stantonfoundation.org,,,,,,2023.0,"1,322,333","5,310,484","-3,988,151",Dividends,0.674,Other Income,0.294,Sales of Assets,0.032,,,Charitable Disbursements,0.92,Compensation of Officers,0.081,"72,417,964","206,781","72,211,183",
Bohemian Foundation,841605993,RFA Community News Funds,https://bohemianfoundation.org,,,,,,2022.0,"967,412","23,354,084","-22,386,672",Dividends,0.851,Interest Revenue,0.121,Other Income,0.027,Contributions Received,<.01,Charitable Disbursements,0.998,Compensation of Officers,0.006,"98,190,476","667,284","97,523,192",
The Colorado Health Foundation,742568941,RFA Community News Funds,https://coloradohealth.org,,,,,,2022.0,"99,986,799","154,734,885","-54,748,086",Sales of Assetts,0.851,Dividends,0.126,Other Income,0.022,Contributions Received,0.001,Charitable Disbursements,0.814,Compensation of Officers,0.019,"2,822,318,238","135,833,653","2,686,484,585",
The Colorado Trust,841608608,RFA Community News Funds,https://www.coloradotrust.org,,,,,,,,,,,,,,,,,,,,,,,,,
Delta Dental of Colorado Foundation,841389431,RFA Community News Funds,https://deltadentalcofoundation.org,,,,,,2023.0,"-3,154,825","8,002,847","-11,157,672",,,,,,,,,Other Salaries and Wages,0.092,Executive Compensation,0.032,"31,109,130","374,206","30,734,924",
Rose Community Foundation,840920862,RFA Community News Funds,https://rcfdenver.org,,,,,,2022.0,"37,727,275","32,039,447","5,687,828",Contributions,0.832,Investment Income,0.104,Sales of Assets,0.047,"Program Services, Royalties, Rental Property Income, Other Revenue",0.017,Other Salaries and Wages,0.056,Executive Compensation,0.024,"352,590,863","66,705,119","285,885,744",
San Francisco Foundation,10679337,RFA Community News Funds,https://sff.org,,,,,,2023.0,"159,316,562","212,475,588","-53,159,026",Contributions,0.887,Investment Income,0.11,Other Revenue,0.002,"Sales of Assets, Royalties",0.001,Other Salaries and Wages,0.052,Executive Compensation,0.012,"1,718,316,930","109,375,684","1,608,941,246",
MacArthur Foundation,510214450,100 Days in Appalachia,https://www.macfound.org,,,,,,,,,,,,,,,,,,,,,,,,,
Ford Foundation,201641095,100 Reporters,https://www.fordfoundation.org,,,,,,,,,,,,,,,,,,,,,,,,,
MacArthur Foundation,510214450,100 Reporters,https://www.macfound.org,,,,,,,,,,,,,,,,,,,,,,,,,
The Miami Foundation,650350357,Alameda Post,https://miamifoundation.org,,,,,,2022.0,"113,981,496","81,136,698","32,844,798",Contributions,0.853,Investment Income,0.08,Sales of Assets,0.055,"Program Services, Royalties, Other Revenue",0.013,Other Salaries and Wages,0.028,Executive Compensation,0.012,"438,006,992","39,473,428","398,533,564",
Inasmuch Foundation,731167188,Arizona Center for Investigative Reporting,https://inasmuchfoundation.org,,,,,,2023.0,"22,424,607","24,957,232","-2,532,625",Other Income,0.367,Sales of Assets,0.328,Dividends,0.305,,,Charitable Disbursements ,0.971,Compensation of Officers,0.063,"403,161,605","8,090,489","395,071,116",
The Reva & David Logan Foundation,452304611,Arizona Center for Investigative Reporting,https://loganfdn.org,,,,,,,,,,,,,,,,,,,,,,,,,
The Scripps Howard Foundation,316025114,Arizona Center for Investigative Reporting,https://scripps.com/fund/,,,,,,,,,,,,,,,,,,,,,,,,,
Vitalyst Health Foundation,860097240,Arizona Center for Investigative Reporting,http://vitalysthealth.org,,,,,,2023.0,"7,425,107","6,403,317","1,021,790",Sales of Assets ,0.78,Investment Income,0.209,Contributions,0.011,,,Other Salaries and Wages,0.116,Executive Compensation,0.084,"131,380,534","1,899,277","129,481,257",
The Carter Center,581454716,Arizona Center for Investigative Reporting,https://www.cartercenter.org,,,,,,2023.0,"153,773,756","148,740,967","5,032,789",Contributions,0.742,Investment Income,0.256,Other Revenue,0.002,,,Other Salaries and Wages,0.273,Executive Compensation,0.019,"1,153,764,230","25,680,885","1,128,083,345",
Murray & Dottie Goodman Family Foundation,942851587,Arizona Center for Investigative Reporting,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert R. Woodruff Foundation,,Atlantic Civic Circle,https://woodruff.org,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew W. Mellon Foundation,131879954,Atlantic Civic Circle,https://www.mellon.org,,,,,,2022.0,"320,667,704","688,730,792","-368,063,088",Sales of Assets,0.931,Dividends,0.069,Interest Revenue,<.01,Other Income,<.01,Charitable Disbursements,0.814,Compensation of Officers,0.012,"8,189,888,621","677,681,296","7,512,207,325",
The Community Foundation for Greater Atlanta,581344646,Atlantic Civic Circle,https://cfgreateratlanta.org,,,,,,2022.0,"170,621,384","207,338,080","-36,716,696",Contributions,0.698,Sales of Assets,0.194,Investment Income,0.1,Program Services,0.008,Other Salaries and Wages,0.022,Executive Compensation,0.007,"1,082,753,744","55,719,497","1,027,034,247",
Arthur M. Blank Family Foundation*,383983213,Atlantic Civic Circle,https://blankfoundation.org,,,,,,2022.0,"105,332,175","85,235,512","20,096,663",Contributions,0.952,Sales of Assets,0.036,Dividends,0.012,,,Charitable Disbursements,1,Compensation of Officers,0.013,"350,993,140","299,866,447","51,126,693",
Catena Foundation,813783868,Aspen Journalism,,,,,,,,,,,,,,,,,,,,,,,,,,
Lynda and Stewart Resnick Foundation,922289753,Aspen Journalism,,,,,,,,,,,,,,,,,,,,,,,,,,
The Ridgeway Holmstrom Family Fund,,Aspen Journalism,,,,,,,,,,,,,,,,,,,,,,,,,,
Rose Community Foundation (Colorado Media Project),,Aspen Journalism,,,,,,,,,,,,,,,,,,,,,,,,,,
California Health Equity Impact Fund,,Center for Health Journalism,,,,,,,,,,,,,,,,,,,,,,,,,,
Yakima Valley Community Foundation,200697012,RFA Community News Funds,https://yakimavalleycf.org,Washington,"HOSTS FUND, PROBABLY IS NOT A DONOR",,,,2022.0,"3,114,851","5,272,805","-2,157,954",Contributions,1,Investment Income,0.494,Program Services,0.191,,,Other Salaries and Wages,0.107,Executive Compensation,0.068,"74,629,187","6,648,713","67,980,474",WA
Community Foundation for Greater Atlanta,581344646,RFA Community News Funds,https://cfgreateratlanta.org,Georgia,"HOSTS FUND, PROBABLY IS NOT A DONOR",,,,2022.0,"170,621,384","207,338,080","-36,716,696",Contributions,0.698,Sales of Assets,0.194,Investment Income,0.1,Program Services,0.008,Other Salaries and Wages,0.022,Executive Compensation,0.007,"1,082,753,744","55,719,497","1,027,034,247",GA
